ID;character_name;build_name;artifact_set_1_label;artifact_set_1;artifact_set_2;artifact_set_3_label;artifact_set_3;artifact_set_4;artifact_set_5_label;artifact_set_5;artifact_set_6;artifact_set_7_label;artifact_set_7;artifact_set_8;sands_1;sands_2;sands_3;goblet_1;goblet_2;circlet_1;circlet_2;circlet_3;substats_1;substats_2;substats_3;substats_4;substats_5;flatstats_1;flatstats_2;er_min;er_max;note
95;Rosaria;Reverse Melt DPS;;Gilded Dreams;;;Lavawalker;;;;;;;;Elemental Mastery;ATK%;;Cryo DMG Bonus;;CRIT Rate;CRIT DMG;;Energy Recharge;CRIT Rate;CRIT DMG;Elemental Mastery;ATK%;Flat ATK;;190;240;Gilded dreams is recommended, Lavawalker can be used if you have great pieces. If you are struggling with ER, Emblem is the better option for you.
96;Rosaria;Freeze Sub DPS;;Blizzard Strayer;;;;;;;;;;;Energy Recharge;ATK%;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;Energy Recharge;CRIT DMG;CRIT Rate;ATK%;;Flat ATK;;190;240;do not go over 45% crit rate
97;Rosaria;All-purpose Cryo Sub DPS;;Emblem of Severed Fate;;;;;;;;;;;Energy Recharge;ATK%;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;Energy Recharge;CRIT DMG;CRIT Rate;ATK%;;Flat ATK;;190;240;Prioritize CRate over DMG to maximize Rosaria's passive crit buff
98;Rosaria;Cryo Support;;Noblesse Oblige;;;;;;;;;;;Energy Recharge;;;Cryo DMG Bonus;;CRIT Rate;CRIT DMG;;Energy Recharge;CRIT Rate;CRIT DMG;ATK%;;Flat ATK;;190;240;
99;Sangonomiya Kokomi;Healer;;Ocean-Hued Clam;;;Tenacity of the Millelith;;;;;;;;HP%;Energy Recharge;;HP%;Hydro DMG Bonus;Healing Bonus;HP%;;HP%;Flat HP;Energy Recharge;;;;;170;220;Clam increases Kokomi's personal damage and is good for on-field during her burst, milelith buffs the rest of the party and is good for an off-field Kokomi
100;Sayu;Support/Healer;;Viridescent Venerer;;;;;;;;;;;Energy Recharge;ATK%;Elemental Mastery;ATK%;Elemental Mastery;Healing Bonus;Elemental Mastery;CRIT Rate/DMG;Energy Recharge;ATK%;Elemental Mastery;CRIT Rate (Favonius);;;;150;200;
101;Sayu;Swirl Driver;;Viridescent Venerer;;;;;;;;;;;Elemental Mastery;ATK%;;Elemental Mastery;Anemo DMG Bonus;Elemental Mastery;CRIT Rate/DMG;;Elemental Mastery;CRIT Rate/DMG;ATK%;Energy Recharge;;;;100;140;
102;Shikanoin Heizou;Swirl Driver;;Viridescent Venerer;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;Energy Recharge;;;;;;100;180;
103;Shikanoin Heizou;Main DPS;;Golden Troupe;;;Viridescent Venerer;Gladiator's Finale;;Desert Pavilion Chronicle;;;;;ATK%;;;Anemo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;Energy Recharge;;Flat ATK;;100;180;Golden Troupe is usually the best, but the other constellations can compete if substats are good
104;Shikanoin Heizou;Hybrid DPS;;Viridescent Venerer;;;;;;;;;;;ATK%;;;Anemo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;Energy Recharge;;Flat ATK;;100;180;This build goes for both his personal damage output and swirl reactions and does neither as good as the more focussed builds
105;Sucrose;Anemo Support/Driver;;Viridescent Venerer;;;;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;;;;;;140;200;Off-field playstyle requires ER, on field driver can forgo ER
106;Thoma;Burgeon Sub DPS;;Flower of Paradise Lost;;;Gilded Dreams;;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;HP%;Flat HP;;;;165;250;Gilded dreams can also be used for burning.
107;Thoma;Burning Sub DPS;;Gilded Dreams;;;Gilded Dreams;Wanderer's Troupe;;;;;;;Energy Recharge;Elemental Mastery;;Elemental Mastery;;Elemental Mastery;;;Energy Recharge;Elemental Mastery;HP%;Flat HP;;;;165;250;If you want to do burgeon, switch to flower of paradise lost
108;Thoma;Off-Field Burst Support;;Noblesse Oblige;;;;;;;;;;;Energy Recharge;HP%;;HP%;;CRIT Rate (Favonius);HP%;;Energy Recharge;CRIT Rate (Favonius);HP%;Flat HP;;;;;;
109;Thoma;Shielder;;Emblem of Severed Fate;Tenacity of the Millelith;;;;;;;;;;HP%;Energy Recharge;;HP%;;HP%;CRIT Rate (Favonius);;Energy Recharge;CRIT Rate (Favonius);HP%;Flat HP;;;;;;build for pure shielding, needs to get burst up to shield
110;Venti;Swirl Sub DPS;;Viridescent Venerer;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;CRIT Rate (Favonius);;Elemental Mastery;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;Flat ATK;;165;200;
111;Venti;Crit Burst DPS;;Viridescent Venerer;;;;;;;;;;;ATK%;;;Anemo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;Elemental Mastery;;;;;165;200;
112;Wanderer;Main DPS;;Desert Pavilion Chronicle;;;Shimenawa's Reminiscence;;;;;;;;ATK%;;;Anemo DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;105;135;do not farm shimenawa, only use if if you dont wanna farm pavilion and have it lying around
113;Wriothesley;Melt Main DPS;;Marechaussee Hunter;;;Shimenawa's Reminiscence;;;;;;;;Elemental Mastery;ATK%;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;CRIT DMG;CRIT Rate;Elemental Mastery;ATK%;;Flat ATK;;100;125;MH is BiS, shimenawa is second
114;Wriothesley;Freeze/Mono Cryo Main DPS;;Marechaussee Hunter;;;Shimenawa's Reminiscence;;;Blizzard Strayer;;;;;ATK%;;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;CRIT DMG;CRIT Rate;ATK%;;;Flat ATK;;100;125;MH is BiS, shimenawa and blizzard are second best
115;Wriothesley;Burnmelt DPS;;Unfinished Reverie;;;;;;;;;;;Elemental Mastery;ATK%;;Cryo DMG Bonus;;CRIT DMG;CRIT Rate;;CRIT DMG;CRIT Rate;Elemental Mastery;ATK%;;Flat ATK;;100;125;
116;Xiangling;Off-Field Burst DPS;;Emblem of Severed Fate;;;Crimson Witch of Flames;;;Gilded Dreams;;;;;Energy Recharge;Elemental Mastery;ATK%;Pyro DMG Bonus;;CRIT Rate/DMG;;;Energy Recharge;CRIT Rate/DMG;ATK%;Elemental Mastery;;Flat ATK;;200;280;Emblem is the best set, the others are worse alternatives that are still valid if you have them lying around
117;Xilonen;Resistance Shredder Support;;Scroll of the Hero of Cinder City;;;;;;;;;;;DEF%;Energy Recharge;;DEF%;;DEF%;Healing Bonus;CRIT Rate (Favonius);DEF%;Energy Recharge;CRIT Rate (Favonius);;;Flat DEF;;170;200;
118;Xingqiu;Hydro Sub DPS;;Emblem of Severed Fate;;;Noblesse Oblige;;;;;;;;ATK%;Energy Recharge;;Hydro DMG Bonus;;CRIT Rate (Favonius);CRIT DMG;;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;ATK%;;Flat ATK;;150;220;Emblem is easier to farm, but if no one else in the team has noblesse, xinqiu should be wearing it
119;Xinyan;Physical Main DPS;;Pale Flame;;;Pale Flame;Bloodstained Chivalry;;Gladiator's Finale;;;;;ATK%;Energy Recharge;;Physical DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Energy Recharge;ATK%;DEF%;;Flat ATK;Flat DEF;160;200;
120;Xinyan;Shielder;;Tenacity of the Millelith;;;;;;;;;;;DEF%;;;DEF%;;DEF%;;;DEF%;Flat DEF;;;;;;n/a;n/a;
121;Yae Miko;Electro Sub DPS;;Golden Troupe;;;;;;;;;;;ATK%;;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;100;160;
122;Yae Miko;Aggravate Sub DPS;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Electro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;Elemental Mastery;ATK%;Energy Recharge;;Flat ATK;;100;160;
123;Yanfei;Main DPS;;Crimson Witch of Flames;;;Gilded Dreams;;;Wanderer's Troupe;;With Furina;Marechaussee Hunter;;Elemental Mastery;ATK%;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate;CRIT DMG;Elemental Mastery (Vape);ATK%;;Flat ATK;;100;120;
125;Yanfei;Pyro Reaction DPS;;Gilded Dreams;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;CRIT DMG;ATK%;Energy Recharge;;;Flat ATK;;100;120;This build focusses on DPS through transformative reactions (i.e. burgeon, burning and overloaded)
126;Yaoyao;Healer/Support;;Deepwood Memories;;;Tenacity of the Millelith;;;;;;;;Energy Recharge;HP%;;HP%;;HP%;Healing Bonus;;Energy Recharge;CRIT Rate (Favonius);HP%;Flat HP;;;;180;230;Deepwood for resistance shred. But if someone else in the party needs it more and the party can benefit from an ATK buff, milelith is a good alternative.
127;Yaoyao;Nilou Bloom Support;;Deepwood Memories;;;;;;;;;;;Elemental Mastery;;;Elemental Mastery;;Elemental Mastery;;;Elemental Mastery;Energy Recharge;CRIT Rate (Favonius);CRIT DMG;;;;180;230;
128;Yoimiya;Main DPS;;Shimenawa's Reminiscence;;;;;;;;;;;ATK%;;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Energy Recharge;;;Flat ATK;;n/a;n/a;Use Witch or Gilded if you play Vape
129;Yoimiya;Vaporize DPS;;Crimson Witch of Flames;;;Gilded Dreams;;;Marechaussee Hunter;;;;;Elemental Mastery;;;Pyro DMG Bonus;;CRIT Rate/DMG;;;CRIT Rate/DMG;ATK%;Elemental Mastery;Energy Recharge;;Flat ATK;;n/a;n/a;MH when you play with Furina
130;Yun Jin;Buffer Support;;Husk of Opulent Dreams;;;Husk of Opulent Dreams;Emblem of Severed Fate;;;;;;;DEF%;Energy Recharge;;DEF%;;DEF%;;;Energy Recharge;CRIT Rate (Favonius);DEF%;Flat DEF;;;;180;260;Husk can be used in a 2PC combo with emblem to facilitate ER, even more valid when emblem has great substats
131;Zhongli;Shielder/Buffer;;Tenacity of the Millelith;;;;;;;;;;;HP%;;;HP%;;HP%;;;HP%;Flat HP;;;;;;n/a;n/a;
132;Zhongli;Shielder++;;Tenacity of the Millelith;Vourukasha's Glow;;;;;;;;;;HP%;;;HP%;;HP%;;;HP%;Flat HP;;;;;;n/a;n/a;
